name,image,url,title
ش,https://cdn.salla.sa/vXZPEy/6af753d1-36db-4059-92e5-ba9470337408-500x500-qZvo9vpWzYgQA8t3vAUGSzKrigMhhGeAWPa87MRj.jpg,https://elburoj.com/ar/لوحة-توزيع-كهربائية-ديسبو-من-شنايدر-18-بول-60-أمبير-res318ez60-tpn/p1775910572,"لوحة توزيع كهربائية ديسبو من شنايدر - 18 بول - 60 أمبير - RES318EZ60, TPN"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/6af753d1-36db-4059-92e5-ba9470337408-500x500-qZvo9vpWzYgQA8t3vAUGSzKrigMhhGeAWPa87MRj.jpg,https://elburoj.com/en/schneider-dispo-electrical-distribution-board-18-lines-60-amps-res318ez60-tpn/p1775910572,"Schneider Dispo Electrical Distribution Board - 18 Lines - 60 Amps - RES318EZ60, TPN"
ش,https://cdn.salla.sa/vXZPEy/40919037-ff9c-416d-a232-c68aca5523c2-500x500-lC8lCnAUlhlpb1ILuKisIoZsHrXtemvqDhiRaI4Z.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-1-بول-16-أمبير-acti9-ic60n-a9f44116-c-curve/p361528494,"اشترِ قاطع فرعي A9F44116 من شنايدر 1 بول"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/40919037-ff9c-416d-a232-c68aca5523c2-500x500-lC8lCnAUlhlpb1ILuKisIoZsHrXtemvqDhiRaI4Z.jpg,https://elburoj.com/en/schneider-sub-breaker-1-line-16-amp-acti9-ic60n-a9f44116-c-curve/p361528494,"Schneider Sub Breaker - 1 Line - 16 Amp - ACTI9 iC60N A9F44116, C Curve"
ش,https://cdn.salla.sa/vXZPEy/cbd967b5-0fe3-4570-86db-515cc39dc012-500x500-ddAWv4RVWPKD6YG4ZNBy5DCxV5K294WgJwJ6qMPa.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-1-بول-25-أمبير-acti9-ic60n-a9f44125-c-curve/p825735848,"اشترِ قاطع فرعي A9F44125 من شنايدر 1 بول"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/cbd967b5-0fe3-4570-86db-515cc39dc012-500x500-ddAWv4RVWPKD6YG4ZNBy5DCxV5K294WgJwJ6qMPa.jpg,https://elburoj.com/en/schneider-sub-breaker-1-line-25-amps-acti9-ic60n-a9f44125-c-curve/p825735848,"Schneider Sub Breaker - 1 Line - 25 Amps - ACTI9 iC60N A9F44125, C Curve"
"C Channel 1mm",https://cdn.salla.sa/vXZPEy/ffed6ec1-8125-4e5f-9454-4a7be63ddcf4-500x500-BTeIgD2F351QLqeF46K6omopChitjIs5CLwWTTHw.jpg,https://elburoj.com/ar/كونتاكتور-ثلاثي-القطب-من-شنايدر-440-فولت-حد-اقصى-12-أمبير-tesys-d-contactor-lc1d12m7/p52222377,"كونتاكتور ثلاثي القطب من شنايدر - 440 فولت حد اقصى - 12 أمبير - TeSys D contactor LC1D12M7"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/ffed6ec1-8125-4e5f-9454-4a7be63ddcf4-500x500-BTeIgD2F351QLqeF46K6omopChitjIs5CLwWTTHw.jpg,https://elburoj.com/en/schneider-3-pole-contactor-440-volts-maximum-12-amps-tesys-d-contactor-lc1d12m7/p52222377,"Schneider 3 Pole Contactor - 440 Volts Maximum - 12 Amps - TeSys D Contactor LC1D12M7"
ش,https://cdn.salla.sa/vXZPEy/9eee6fc7-9373-462a-add0-572765cceaad-500x500-QZ9aP2tC0aQqJj53gO6kVzEARYQZfKDkfx59LnFi.jpg,https://elburoj.com/ar/كونتاكتور-ثلاثي-القطب-من-شنايدر-690-فولت-حد-اقصى-tesys-d-contactor-cad32m7/p1559885994,"كونتاكتور ثلاثي القطب من شنايدر - 690 فولت حد اقصى - TeSys D contactor CAD32M7"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/9eee6fc7-9373-462a-add0-572765cceaad-500x500-QZ9aP2tC0aQqJj53gO6kVzEARYQZfKDkfx59LnFi.jpg,https://elburoj.com/en/schneider-3-pole-contactor-690-volts-max-tesys-d-contactor-cad32m7/p1559885994,"Schneider 3 Pole Contactor - 690 Volts Max - TeSys D Contactor CAD32M7"
